Style Listing Stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASHWOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
007,,,,GLOVES,,,,LADIES,,,,NO SEASON,,,,,ladies gloves,,,,,,,,,,0.00,29.99
,,,S,,M,L,Total,,,,,,,,,,,,,,,,,,,,,
,,Fen,,,0,,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,,,0,,0,,,,,,,,,,,,,,,,,,,,,
,,WEB,,,2,,2,,,,,,,,,,,,,,,,,,,,,
,Total,,0,,3,0,3,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
KB 56,,,,LADIES S/SKIN,,,,S/SKIN,,,,NO SEASON,,,,,FULL LENGTH TAN BRISSA FUR,,,,,,,,,,439.00,"1,397.32"
,,,6,,8,10,12,,14,16,18,,20,,Total,,,,,,,,,,,,,
,BLACK (7773),,,,1,0,0,,0,0,1,,0,,2,,,,,,,,,,,,,
,,Ash,,,,,0,,,0,,,,,0,,,,,,,,,,,,,
,,Fen,,,,,0,,0,0,,,,,0,,,,,,,,,,,,,
,,ITOH,,,0,0,0,,0,0,0,,0,,0,,,,,,,,,,,,,
,,SOL,,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,
,,WEB,0,,0,0,0,,0,0,1,,0,,1,,,,,,,,,,,,,
,BROWN (7749),,,,1,0,1,,1,0,1,,0,,4,,,,,,,,,,,,,
,,Ash,,,0,0,,,,0,,,,,0,,,,,,,,,,,,,
,,Fen,,,,0,,,0,,0,,,,0,,,,,,,,,,,,,
,,ITOH,,,0,0,0,,0,0,0,,0,,0,,,,,,,,,,,,,
,,SOL,,,,0,,,0,,,,,,0,,,,,,,,,,,,,
,,WEB,,,1,1,1,,1,0,1,,1,,6,,,,,,,,,,,,,
,TAN (7737),,,,0,0,1,,0,0,0,,0,,1,,,,,,,,,,,,,
,,Ash,,,0,0,0,,0,,0,,,,0,,,,,,,,,,,,,
,,Fen,,,,0,,,0,0,0,,,,0,,,,,,,,,,,,,
,,ITOH,,,0,0,0,,0,0,0,,0,,0,,,,,,,,,,,,,
,,SOL,,,,0,,,0,0,,,0,,0,,,,,,,,,,,,,
,,WEB,,,1,1,0,,0,1,0,,0,,3,,,,,,,,,,,,,
,Total,,0,,4,2,3,,2,1,4,,1,,17,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
KB 620,,,,LADIES S/SKIN,,,,S/SKIN,,,,NO SEASON,,,,,gillet,,,,,,,,,,99.00,500.94
,,,8,,10,12,14,,16,18,20,,Total,,,,,,,,,,,,,,,
,BLACK (21861),,0,,0,0,0,,0,0,0,,0,,,,,,,,,,,,,,,
,,Ash,,,,,0,,,,0,,0,,,,,,,,,,,,,,,
,,Fen,,,0,0,,,0,,,,0,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,0,0,,0,,,,,,,,,,,,,,,
,,SOL,,,,0,,,,,,,0,,,,,,,,,,,,,,,
,,WEB,0,,1,2,2,,1,2,0,,8,,,,,,,,,,,,,,,
,BROWN (21873),,0,,0,0,0,,0,0,,,0,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,0,,,0,,,,,,,,,,,,,,,
,,WEB,0,,1,1,2,,2,2,,,8,,,,,,,,,,,,,,,
,OMBRE BLUE (53134),WEB,,,1,0,0,,0,1,,,2,,,,,,,,,,,,,,,
,TAN (21885),,0,,0,0,1,,0,0,0,,1,,,,,,,,,,,,,,,
,,Ash,,,,0,,,,,,,0,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,0,0,,0,,,,,,,,,,,,,,,
,,WEB,0,,0,3,0,,2,2,0,,7,,,,,,,,,,,,,,,
,Total,,0,,3,6,5,,5,7,0,,26,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
KB 634,,,,LADIES S/SKIN,,,,S/SKIN,,,,NO SEASON,,,,,multi s/skin coat,,,,,,,,,,0.00,"1,295.00"
,,,8,,10,14,16,,18,Total,,,,,,,,,,,,,,,,,,
,BABY PINK/MULTI (33124),Fen,0,,,,0,,0,0,,,,,,,,,,,,,,,,,,
,,ITOH,0,,,,0,,0,0,,,,,,,,,,,,,,,,,,
,,SOL,,,0,0,,,,0,,,,,,,,,,,,,,,,,,
,,WEB,0,,,,1,,1,2,,,,,,,,,,,,,,,,,,
,Total,,0,,0,0,1,,1,2,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
KB 679,,,,LADIES S/SKIN,,,,S/SKIN,,,,NO SEASON,,,,,vintage suede s/skin,,,,,,,,,,0.00,549.99
,,,8,,10,12,14,,16,18,Total,,,,,,,,,,,,,,,,,
,BEIGE (47983),,,,0,,,,0,,0,,,,,,,,,,,,,,,,,
,,ITOH,,,0,,,,0,,0,,,,,,,,,,,,,,,,,
,,WEB,,,0,,,,0,0,0,,,,,,,,,,,,,,,,,
,HONEY (27995),Fen,,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
,,ITOH,,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
,,WEB,,,1,0,,,,1,2,,,,,,,,,,,,,,,,,
,TAUPE (27983),,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,
,,Fen,0,,0,0,0,,0,,0,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,
,,SOL,,,0,0,0,,0,,0,,,,,,,,,,,,,,,,,
,,WEB,0,,1,0,1,,1,1,4,,,,,,,,,,,,,,,,,
,Total,,0,,2,0,1,,1,2,6,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
KB 688,,,,LADIES S/SKIN,,,,S/SKIN,,,,NO SEASON,,,,,one button 3/4 sheepskin,,,,,,,,,,0.00,925.00
,,,8,,10,12,14,,Total,,,,,,,,,,,,,,,,,,,
,BLACK (28007),Fen,,,,0,0,,0,,,,,,,,,,,,,,,,,,,
,,ITOH,,,,0,0,,0,,,,,,,,,,,,,,,,,,,
,,WEB,,,,1,1,,2,,,,,,,,,,,,,,,,,,,
,TABAK (28019),Fen,,,0,0,,,0,,,,,,,,,,,,,,,,,,,
,,ITOH,,,0,0,,,0,,,,,,,,,,,,,,,,,,,
,,WEB,,,1,1,,,2,,,,,,,,,,,,,,,,,,,
,WHISKY (28307),,,,0,,0,,0,,,,,,,,,,,,,,,,,,,
,,Fen,0,,,0,,,0,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,,,0,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,0,,,0,,,,,,,,,,,,,,,,,,,
,,WEB,1,,1,0,,,2,,,,,,,,,,,,,,,,,,,
,Total,,1,,2,2,1,,6,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
KB 709,,,,LADIES S/SKIN,,,,S/SKIN WAISTCOAT,,,,NO SEASON,,,,,leopard print s/skin waistcoat,,,,,,,,,,0.00,349.00
,,,10,,12,Total,,,,,,,,,,,,,,,,,,,,,,
,LEOPARD (33112),,0,,0,0,,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,0,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,,,,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,0,,,,,,,,,,,,,,,,,,,,,,
,,WEB,1,,0,1,,,,,,,,,,,,,,,,,,,,,,
,Total,,1,,0,1,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
KB 999,,,,LADIES S/SKIN,,,,S/SKIN,,,,NO SEASON,,,,,S/SKIN ZIP DUFFEL HOODED,,,,,,,,,,0.00,905.00
,,,10,,20,Total,,,,,,,,,,,,,,,,,,,,,,
,TAN (33644),Fen,0,,0,0,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,1,1,,,,,,,,,,,,,,,,,,,,,,
,Total,,0,,1,1,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
KB CL,,,,LADIES S/SKIN,,,,S/SKIN,,,,NO SEASON,,,,,S/SKIN SB CREAM FUR,,,,,,,,,,155.00,389.00
,,,10,,14,16,18,,Total,,,,,,,,,,,,,,,,,,,
,BROWN (8267),,,,0,,0,,0,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,0,,,0,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,,,,,,,,,,,,,,,,,,,
,,WEB,1,,2,1,1,,5,,,,,,,,,,,,,,,,,,,
,TAN (8255),,,,,0,0,,0,,,,,,,,,,,,,,,,,,,
,,Fen,,,,0,0,,0,,,,,,,,,,,,,,,,,,,
,,ITOH,,,,0,0,,0,,,,,,,,,,,,,,,,,,,
,,WEB,,,,2,2,,4,,,,,,,,,,,,,,,,,,,
,Total,,1,,2,3,3,,9,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
KB-10275,,,,LADIES S/SKIN,,,,S/SKIN,,,,NO SEASON,,,,,sheepskin jacket,,,,,,,,,,0.00,589.00
,,,10,,12,14,16,,Total,,,,,,,,,,,,,,,,,,,
,BROWN (33365),,0,,0,0,0,,0,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,0,0,,0,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,,,,,,,,,,,,,,,,,,,
,,SOL,0,,0,0,0,,0,,,,,,,,,,,,,,,,,,,
,,WEB,1,,1,1,0,,3,,,,,,,,,,,,,,,,,,,
,Total,,1,,1,1,0,,3,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
KB-10285,,,,LADIES S/SKIN,,,,S/SKIN,,,,NO SEASON,,,,,sheepskin hooded coat,,,,,,,,,,0.00,749.00
,,,12,,14,Total,,,,,,,,,,,,,,,,,,,,,,
,GRAY (33389),,1,,,1,,,,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,0,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,1,1,,,,,,,,,,,,,,,,,,,,,,
,TAN (33401),Fen,0,,,0,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,,0,,,,,,,,,,,,,,,,,,,,,,
,,WEB,1,,,1,,,,,,,,,,,,,,,,,,,,,,
,Total,,2,,1,3,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
KB-20091,,,,LADIES S/SKIN,,,,S/SKIN,,,,NO SEASON,,,,,oversize sheekskin flyer jacket,,,,,,,,,,0.00,749.69
,,,6,,8,10,12,,14,Total,,,,,,,,,,,,,,,,,,
,BLACK (33305),,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,
,,Fen,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,
,,SOL,,,0,,,,,0,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,1,0,,0,1,,,,,,,,,,,,,,,,,,
,BLACK/SNU (33317),,,,0,0,,,0,0,,,,,,,,,,,,,,,,,,
,,Ash,,,,,0,,0,0,,,,,,,,,,,,,,,,,,
,,Fen,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,
,,ITOH,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,
,,SOL,,,0,1,0,,1,2,,,,,,,,,,,,,,,,,,
,,WEB,,,3,3,0,,1,7,,,,,,,,,,,,,,,,,,
,BORDUEX (33341),Fen,,,,0,0,,0,0,,,,,,,,,,,,,,,,,,
,,ITOH,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,
,,SOL,,,0,0,1,,,1,,,,,,,,,,,,,,,,,,
,,WEB,,,1,1,2,,1,5,,,,,,,,,,,,,,,,,,
,GRAY (33293),,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,
,,ITOH,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,
,,SOL,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,
,,WEB,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,
,Total,,0,,4,6,3,,3,16,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
KB-42,,,,LADIES S/SKIN,,,,S/SKIN,,,,NO SEASON,,,,,TASKANA W/COAT,,,,,,,,,,50.00,400.73
,,,8,,10,12,14,,16,18,20,,24,,Total,,,,,,,,,,,,,
,BLACK (16584),,0,,-1,-1,0,,0,0,0,,0,,-2,,,,,,,,,,,,,
,,Ash,,,,0,,,,,,,,,0,,,,,,,,,,,,,
,,Fen,0,,0,0,,,0,0,,,,,0,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,0,0,,,,0,,,,,,,,,,,,,
,,WEB,1,,1,2,1,,1,1,0,,,,7,,,,,,,,,,,,,
,BLK/BLK (16632),,,,0,,,,,,,,,,0,,,,,,,,,,,,,
,BLUE/GRAY (33607),Fen,0,,0,0,,,,,,,,,0,,,,,,,,,,,,,
,,ITOH,0,,0,0,,,,,,,,,0,,,,,,,,,,,,,
,,SOL,,,0,1,,,,,,,,,1,,,,,,,,,,,,,
,,WEB,1,,1,1,,,,,,,,,3,,,,,,,,,,,,,
,BRN/BRN (16644),,,,,0,0,,,,,,,,0,,,,,,,,,,,,,
,,Ash,0,,,0,,,,,,,,,0,,,,,,,,,,,,,
,,ITOH,,,,0,,,,,,,,,0,,,,,,,,,,,,,
,,SOL,,,,0,,,,,,,,,0,,,,,,,,,,,,,
,,WEB,0,,1,0,1,,0,1,2,,,,5,,,,,,,,,,,,,
,BROWN (16596),,0,,0,0,0,,0,-1,0,,,,-1,,,,,,,,,,,,,
,,Ash,,,,,,,0,0,,,,,0,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,0,0,,,,0,,,,,,,,,,,,,
,,WEB,1,,1,1,1,,2,0,0,,,,6,,,,,,,,,,,,,
,BURGANDY (33619),,,,0,-1,-1,,0,0,,,,,-2,,,,,,,,,,,,,
,,Ash,,,0,,,,,0,,,,,0,,,,,,,,,,,,,
,,Fen,0,,0,0,0,,0,0,,,,,0,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,0,,,,,0,,,,,,,,,,,,,
,,SOL,0,,0,0,0,,0,,,,,,0,,,,,,,,,,,,,
,,WEB,1,,2,1,1,,2,1,,,,,8,,,,,,,,,,,,,
,CAMEL (23450),,0,,1,1,0,,1,0,,,,,3,,,,,,,,,,,,,
,,Ash,0,,0,0,0,,,,,,,,0,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,0,,,,,0,,,,,,,,,,,,,
,,WEB,1,,1,1,0,,0,2,1,,,,6,,,,,,,,,,,,,
,GREEN (49696),,0,,0,0,0,,0,-1,,,,,-1,,,,,,,,,,,,,
,,Ash,,,,,0,,,,0,,,,0,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,0,,,,,0,,,,,,,,,,,,,
,,WEB,1,,1,1,1,,1,1,0,,,,6,,,,,,,,,,,,,
,HONEY (45173),,1,,1,0,1,,0,0,,,,,3,,,,,,,,,,,,,
,,Ash,,,,0,,,,,,,,,0,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,0,,,,,0,,,,,,,,,,,,,
,,WEB,1,,0,0,0,,1,1,1,,,,4,,,,,,,,,,,,,
,mouse tt (50327),,,,,0,,,1,,,,,,1,,,,,,,,,,,,,
,,ITOH,,,,0,,,0,,,,,,0,,,,,,,,,,,,,
,,WEB,1,,0,0,0,,0,1,,,,,2,,,,,,,,,,,,,
,NAVY (21801),,0,,0,1,0,,1,-1,0,,,,1,,,,,,,,,,,,,
,,Fen,0,,,,,,,,,,,,0,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,0,0,,,,0,,,,,,,,,,,,,
,,SOL,0,,0,0,0,,0,0,0,,,,0,,,,,,,,,,,,,
,,WEB,0,,1,0,1,,0,1,1,,,,4,,,,,,,,,,,,,
,navy/snowtip (50339),,,,,0,,,,1,,,,,1,,,,,,,,,,,,,
,,ITOH,,,,0,,,,0,,,,,0,,,,,,,,,,,,,
,,WEB,1,,1,0,0,,0,1,0,,,,3,,,,,,,,,,,,,
,PLUM (16572),,,,,0,,,,,,,,,0,,,,,,,,,,,,,
,ROSE (21813),,,,0,,0,,,,,,,,0,,,,,,,,,,,,,
,TOPO (27902),,0,,0,1,-1,,-1,0,0,,,,-1,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,0,0,,,,0,,,,,,,,,,,,,
,,SOL,0,,0,0,0,,0,0,,,,,0,,,,,,,,,,,,,
,,WEB,1,,1,0,2,,1,2,1,,,,8,,,,,,,,,,,,,
,vin whisky (49684),,0,,0,0,0,,0,,,,,,0,,,,,,,,,,,,,
,,Ash,,,0,,,,,,,,,,0,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,,,,,,0,,,,,,,,,,,,,
,,WEB,1,,1,1,1,,1,1,,,,,6,,,,,,,,,,,,,
,WHISKY (16608),,0,,0,1,0,,0,1,0,,,,2,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,0,0,,,,0,,,,,,,,,,,,,
,,SOL,,,,,0,,,,,,,,0,,,,,,,,,,,,,
,,WEB,1,,1,1,1,,1,1,1,,,,7,,,,,,,,,,,,,
,Total,,13,,14,12,9,,12,13,7,,0,,80,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
KB-451,,,,LADIES S/SKIN,,,,S/SKIN,,,,NO SEASON,,,,,SINGLE COLLAR FEN BERRY,,,,,,,,,,50.00,504.96
,,,8,,10,12,14,,16,18,Total,,,,,,,,,,,,,,,,,
,BLACK/SUEDE (25523),,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,
,,Fen,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,
,,ITOH,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,
,,SOL,,,0,,,,0,0,0,,,,,,,,,,,,,,,,,
,,WEB,1,,1,1,0,,2,0,5,,,,,,,,,,,,,,,,,
,BRN/CREAM (33178),,0,,0,0,0,,0,,0,,,,,,,,,,,,,,,,,
,,Fen,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,
,,SOL,,,,0,,,0,,0,,,,,,,,,,,,,,,,,
,,WEB,0,,0,0,0,,0,1,1,,,,,,,,,,,,,,,,,
,NAVY (27839),,0,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,
,,Fen,,,0,,0,,,0,0,,,,,,,,,,,,,,,,,
,,ITOH,,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,
,,SOL,,,,0,,,0,,0,,,,,,,,,,,,,,,,,
,,WEB,,,0,0,0,,1,0,1,,,,,,,,,,,,,,,,,
,TAN (22406),,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,
,,Fen,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,
,,WEB,0,,0,0,0,,0,1,1,,,,,,,,,,,,,,,,,
,Total,,1,,1,1,0,,3,2,8,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
KB-451 DC,,,,LADIES S/SKIN,,,,S/SKIN,,,,NO SEASON,,,,,Sheepskin Double Collar Aviator Jacket,,,,,,,,,,0.00,849.00
,,,8,,10,12,14,,16,18,Total,,,,,,,,,,,,,,,,,
,BRN/CREAM (53914),ITOH,,,,0,0,,0,,0,,,,,,,,,,,,,,,,,
,,SOL,,,,1,1,,0,,2,,,,,,,,,,,,,,,,,
,,WEB,1,,1,1,1,,1,1,6,,,,,,,,,,,,,,,,,
,OMBRE BLUE (53926),ITOH,0,,,,,,0,,0,,,,,,,,,,,,,,,,,
,,SOL,1,,,,,,1,,2,,,,,,,,,,,,,,,,,
,,WEB,0,,1,2,2,,1,1,7,,,,,,,,,,,,,,,,,
,Total,,2,,2,4,4,,3,2,17,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
KB-451 GILLET,,,,LADIES W/COAT,,,,W/COAT,,,,NO SEASON,,,,,ladies s/skin gillet,,,,,,,,,,0.00,369.00
,,,8,,10,12,14,,16,18,Total,,,,,,,,,,,,,,,,,
,BLACK/SUEDE (28319),,0,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
,,Fen,0,,0,0,0,,0,,0,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,
,,WEB,2,,2,2,0,,1,1,8,,,,,,,,,,,,,,,,,
,Total,,2,,2,2,0,,1,1,8,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
KB-469,,,,LADIES W/COAT,,,,W/COAT,,,,NO SEASON,,,,,taskana waistcoat,,,,,,,,,,0.00,495.00
,,,10,,12,14,16,,18,Total,,,,,,,,,,,,,,,,,,
,HONEY (43472),,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,
,,SOL,,,0,0,0,,,0,,,,,,,,,,,,,,,,,,
,,WEB,1,,0,0,1,,0,2,,,,,,,,,,,,,,,,,,
,Total,,1,,0,0,1,,0,2,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
KB-472,,,,LADIES S/SKIN,,,,S/SKIN,,,,NO SEASON,,,,,3/4 S/SKIN STICH BRN FUR,,,,,,,,,,599.00,"1,499.00"
,,,12,,Total,,,,,,,,,,,,,,,,,,,,,,,
,BROWN (9722),Fen,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,1,,1,,,,,,,,,,,,,,,,,,,,,,,
,Total,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
KB-496,,,,ACCESSORIES,,,,HAT + SCARF,,,,NO SEASON,,,,,sheepskin ladies hats,,,,,,,,,,0.00,59.99
,,,S,,M,L,Total,,,,,,,,,,,,,,,,,,,,,
,BLACK/BRISSA (40059),,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,BRN/BLK (40134),,,,0,,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,,,0,,0,,,,,,,,,,,,,,,,,,,,,
,,WEB,,,0,,0,,,,,,,,,,,,,,,,,,,,,
,BROWN/BRISSA (40074),,0,,,0,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,,0,0,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,,3,3,,,,,,,,,,,,,,,,,,,,,
,CREAM (40179),,,,0,,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,,,0,,0,,,,,,,,,,,,,,,,,,,,,
,,WEB,,,3,,3,,,,,,,,,,,,,,,,,,,,,
,LT GRAY (40164),,,,0,,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,,,0,,0,,,,,,,,,,,,,,,,,,,,,
,,WEB,,,1,,1,,,,,,,,,,,,,,,,,,,,,
,NUT BRISSA (40119),,,,,0,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,,,,0,0,,,,,,,,,,,,,,,,,,,,,
,,WEB,,,,0,0,,,,,,,,,,,,,,,,,,,,,
,TOBACCO (40149),,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,WEB,2,,1,0,3,,,,,,,,,,,,,,,,,,,,,
,Total,,2,,5,3,10,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
KB-500,,,,HATS,,,,S SKIN,,,,NO SEASON,,,,,sheepskin hat,,,,,,,,,,0.00,149.00
,,,S,,M,L,XL,,Total,,,,,,,,,,,,,,,,,,,
,GINGER (28184),,0,,0,0,0,,0,,,,,,,,,,,,,,,,,,,
,,Fen,0,,0,0,0,,0,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,,,,,,,,,,,,,,,,,,,
,,SOL,1,,1,,,,2,,,,,,,,,,,,,,,,,,,
,,WEB,1,,1,0,0,,2,,,,,,,,,,,,,,,,,,,
,Total,,2,,2,0,0,,4,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
KB-509,,,,LADIES S/SKIN,,,,S/SKIN,,,,NO SEASON,,,,,3/4 ZIPED S/SKIN BRN FUR BRISSA,,,,,,,,,,479.00,"1,199.00"
,,,12,,Total,,,,,,,,,,,,,,,,,,,,,,,
,BROWN (9710),Fen,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,,,,,,,,,,,,,,,,,,,,,,,
,,WEB,1,,1,,,,,,,,,,,,,,,,,,,,,,,
,Total,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
KB-513,,,,ACCESSORIES,,,,ACC,,,,NO SEASON,,,,,headband,,,,,,,,,,0.00,39.99
,,,S,,M,L,Total,,,,,,,,,,,,,,,,,,,,,
,TOBACCO RAPER (38791),,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,SOL,2,,2,0,4,,,,,,,,,,,,,,,,,,,,,
,,WEB,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,Total,,2,,2,0,4,,,,,,,,,,,,,,,,,,,,,
Style,,,,Category,,,,Department,,,,Season,,,,,Description,,,,,,,,,,AVG Cost,AVG Retail
KB-529,,,,LADIES W/COAT,,,,W/COAT,,,,NO SEASON,,,,,TOSCANA GILLET,,,,,,,,,,185.00,495.00
,,,8,,10,12,14,,16,18,Total,,,,,,,,,,,,,,,,,
,BLACK/BRISSA (24172),,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,
,,Fen,,,0,0,0,,,,0,,,,,,,,,,,,,,,,,
,,ITOH,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,
,,SOL,0,,,,,,,,0,,,,,,,,,,,,,,,,,
,,WEB,1,,0,0,0,,0,0,1,,,,,,,,,,,,,,,,,
